id,img_warm,img_cool,img_low_res,img_mid_res,img_high_res,img_bright_low,img_bright_medium,img_bright_high,img_bright_very_high,img_bedroom,img_kitchen,img_bathroom,img_living_room,img_dining_room,img_balcony,img_not_a_room
758475,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
759060,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
761411,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
768274,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
768737,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
771217,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
771343,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
775655,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
780674,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
782254,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
800723,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
801544,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
802052,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
816940,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
817716,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
818881,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
829306,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
839610,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
862411,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
868418,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
874057,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
874076,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
877702,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
879986,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
884329,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
890288,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
906446,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
